Chateau / Entreprise,Website,Email,Confidence,Source,Notes
Domaine de l'Aumônerie,https://www.manoirdelaumonerie.fr/,contact@manoirdelaumonerie.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Durandière,https://www.chateaudeladurandiere.fr/contact/,contact@chateaudeladurandiere.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Perruche,https://www.domainedelaperruche.fr/,tourisme@domainedelaperruche.fr,HIGH,snippet,Email domain matches website domain
Domaine du Petit Val,https://www.vinsdeloire.fr/fr/domaine-du-petit-val,contact@vinsdeloire.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Noblaie,https://lanoblaie.fr/,contact@lanoblaie.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Voarick,https://www.domaine-michel-voarick.com/,domaine@michelvoarick.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château des Matards-Domaine de la Margotterie,https://www.cc-estuaire.fr/annuaire/chateau-des-matards/,info@vignobles-terrigeol.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château les Bertrands,https://www.chateaulesbertrands.com/fr/boutique-en-ligne/,contact@chateaulesbertrands.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Mondésir Gazin,https://www.mondesir-gazin.com/,mondesirgazin@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château Icla,https://chateau-icla.com/nos-vins-chateau-icla/,contact@chateau-icla.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Vieux Mougnac,https://www.vieuxmougnac.com/,contact@vieuxmougnac.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Brethous,https://brethous.com/,chateaubrethous@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château des Cèdres,https://www.domainedescedres.com/contactez-le-domaine-des-cedres/,contact@domainedescedres.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château la Bertrande,https://chateaulabertrande.fr/,contact@chateaulabertrande.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Bellevue,https://chateaubellevue.fr/,contact@chateaubellevue.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Vignobles Michel Bergey,https://www.lab-alimentation-nouvelle-aquitaine.fr/fiche-entreprise/vignobles-michel-bergey/,contact@lab-alimentation-nouvelle-aquitaine.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Chateau Brulesécaille,http://www.brulesecaille.com/,contact@brulesecaille.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Chateau Martinat,https://www.chateau-martinat.com/category/news/,contact@chateau-martinat.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Lalande Labatut,https://www.lalande-labatut.com/,info@lalande-labatut.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Tour de Calens - Château Saint-Ange,Not Found,Not Found,NOT_FOUND,,
Château Carbon d'Artigues et Château la Passonne,https://www.winepartners.fr/fr/partenaires/musyt-bonnot.php,contact@winepartners.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Château de la Gravelière,https://www.ecuriesdelagraveliere.fr/contact,contact@ecuriesdelagraveliere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Porte Pères,https://bordeaux.feret.com/fr/Z1Y3GY-chateau-de-porte-peres,contact@feret.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Pont de Brion,https://chateaupontdebrion.com/,vignoblesmolinari@chateaupontdebrion.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Sirio,https://www.chateausirio.fr/,contact@chateausirio.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Gûnes,https://www.chateau-gunes.fr/fr/appellation/haut-medoc_fr/?srsltid=AfmBOoo_ULBHcQYq4agCK-H68PqrpgqhcapbgNUIDDcWw1vrSKsMOVyh,contact@chateau-gunes.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Altimar - Château Haut Chatain,https://lalande-pomerol.com/project/chateau-haut-chatain/,secretariat@lalande-pomerol.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Belles-Graves,https://www.belles-graves.com/,x.piton@belles-graves.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Bourseau,https://lalande-pomerol.com/project/chateau-altimar-2/,secretariat@lalande-pomerol.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Haut-Goujon,https://chateauhautgoujon.com/,contact@chateauhautgoujon.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine du Grand Ormeau,https://www.domainedugrandormeau.com/contact.html,domainegrandormeau@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château du Cros,https://www.chateauducros.com/,info@chateauducros.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Haut Breton Larigaudière,https://chateauhautbretonlarigaudiere.com/,contact@de-mour.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château le Coteau,https://chateaulecoteau.com/,chateaulecoteau@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château Haut Mousseau - Château Pontac Gadet,https://www.vignerons-independants.com/annuaire-des-vignerons-independants-de-france/chateau-haut-mousseau-chateau-pontac-gadet,contact@domaine-bellegarde.fr,LOW,snippet,"From Google snippet, could be third party"
Château l'Inclassable,https://linclassable.com/,contact@linclassable.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château la Gorce,https://www.chateaulagorce.com/,info@chateaulagorce.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Noaillac,https://www.noaillac.com/,noaillac@noaillac.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Dutruch Grand Poujeaux,https://grandcercle.fr/chateaux/chateau-dutruch-grand-poujeaux/,contact@grandcercle.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean-Christophe Coubris,https://www.domainejccoubris.com/,contact@domainejccoubris.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château la Fon du Berger,https://lafonduberger.com/,contact@marinejeanpierre.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château de France,https://chateau-de-france.com/,contact@chateau-de-france.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Lafargue Familles Leymarie et Peyrout,https://www.vignerons-independants.com/annuaire-des-vignerons-independants-de-france/chateau-lafargue-familles-leymarie-et-peyrout,info@vigneron-independant.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château les grands Sillons - Château Côtes de Bonde,https://www.vignerons-independants.com/annuaire-des-vignerons-independants-de-france/chateau-les-grands-sillons-chateau-cotes-de-bonde,info@vigneron-independant.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Vignobles Garzaro,https://www.vignoblesgarzaro.com/,contact@vignoblesgarzaro.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Vignobles Mouty Daniel,https://www.vignerons-independants.com/annuaire-des-vignerons-independants-de-france/vignobles-mouty-daniel,info@vigneron-independant.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château Clarisse,https://chateau-clarisse.com/wine-tourism/,contact@chateau-clarisse.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Vignobles Poitou-Operie,https://www.pappers.fr/entreprise/scea-vignobles-poitou-operie-415026905,contact@pappers.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Vignobles Mallard,https://www.laurent-mallard.com/,contact@laurent-mallard.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Clos Saint Emilion Philippe,https://vins-saint-emilion.com/chateau/chateau-clos-saint-emilion-philippe/,Not Found,NOT_FOUND,,
Château Devillaire,http://www.cavusvinifera.com/fr/133421-Chateau-Devillaire-Saint-Emilion-Grand-Cru-rouge,info@cavusvinifera.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château la Grace Fonrazade,https://lagracefonrazade.com/,persevero@lagracefonrazade.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château la Renomée Maine Reynaud,Not Found,Not Found,NOT_FOUND,,
Château Lagarde Bellevue - Chevalier des Anges,https://lagarde-bellevue.com/index.html,contact@lagarde-bellevue.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château les Gravières,https://vins-saint-emilion.com/chateau/chateau-les-gravieres/,denis.barraud@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château Milon - Clos de la Cure,https://routes-des-vins.com/vignoble/chateau-milon-clos-de-la-cure/,contact@routes-des-vins.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Moulin Bellegrave - Famille Mabileau,Not Found,Not Found,NOT_FOUND,,
Château Tour Grand Faure,Not Found,Not Found,NOT_FOUND,,
Clos des Abbesses,http://clos-des-abbesses.com/,clement.fanara@clos-des-abbesses.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Trimoulet,https://www.clos-trimoulet.com/,contact@clos-trimoulet.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Vignobles Marcel Petit,https://vignobles-petit.com/,contact@vignobles-petit.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Come,https://www.chateaudecome.com/,contact@chateaudecome.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château Haut Coteau,https://www.chateauhautcoteau.com/,contact@chateauhautcoteau.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Château la Haye,https://www.chateaulahaye.fr/,contact@chateaulahaye.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Château la Rose Brana,https://saint-estephe.fr/fr/fiche-technique/la-rose-brana,contact@saint-estephe.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château la Bridane,https://ancoravino.wine/products/2019-Chateau-La-Bridane-Saint-Julien-p783093937,contact@ancoravino.wine,MEDIUM,constructed,"Constructed email, domain has MX records"
Château de Teste,https://chateaudeteste.com/grands-vins-bordelais-chateau-de-teste,contact@lcomlucie.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
